fold,seed,float_auroc,qat_auroc,akida_auroc,float_auroc_inner,float_auroc_outer,float_auroc_ball,float_auroc_cage,akida_auroc_inner,akida_auroc_outer,akida_auroc_ball,akida_auroc_cage,params,n_train_windows,n_test_windows,seconds
87,0,0.906969,0.926219,0.926625,0.976625,0.994625,0.960375,0.696250,0.969500,0.999375,0.950438,0.787188,335444,720,240,20.3
88,0,0.861594,0.915984,0.916703,0.902750,0.987125,0.965250,0.591250,0.922813,0.987437,0.981812,0.774750,335444,720,240,20.8
89,0,0.876250,0.886719,0.887969,0.921125,1.000000,0.970875,0.613000,0.923125,0.997563,0.972375,0.658813,335444,720,240,20.7
90,0,0.933250,0.933844,0.929688,0.989625,0.987250,0.989000,0.767125,0.988875,0.982000,0.953875,0.794000,335444,720,240,20.3
91,0,0.944219,0.933094,0.934234,0.999000,1.000000,0.892500,0.885375,0.995500,0.999000,0.907000,0.835438,335444,720,240,20.2
92,0,0.932094,0.919953,0.928609,0.990500,0.972375,0.982125,0.783375,0.992375,0.969000,0.974187,0.778875,335444,720,240,20.4
93,0,0.717594,0.704172,0.710453,0.901250,1.000000,0.831625,0.137500,0.898375,0.997500,0.852438,0.093500,335444,720,240,20.3
94,0,0.969906,0.986656,0.988906,1.000000,0.974000,0.978375,0.927250,1.000000,0.990125,0.978625,0.986875,335444,720,240,20.2
95,0,0.792875,0.797063,0.797984,0.930875,0.998250,0.955250,0.287125,0.933250,0.998438,0.954437,0.305812,335444,720,240,20.8
96,0,0.902062,0.916875,0.907047,0.998250,1.000000,0.809750,0.800250,0.997875,0.990250,0.794000,0.846062,335444,720,240,22.2
97,0,0.924625,0.925484,0.926500,0.999250,1.000000,0.838875,0.860375,0.995750,0.999875,0.842750,0.867625,335444,720,240,20.9
98,0,0.886656,0.916906,0.909531,0.958250,0.962875,0.920375,0.705125,0.966375,0.944000,0.930375,0.797375,335444,720,240,20.2
99,0,0.704406,0.713875,0.714391,0.931125,0.949875,0.873500,0.063125,0.923813,0.923437,0.885875,0.124437,335444,720,240,20.3
100,0,0.979313,0.978125,0.973250,0.999875,0.986000,0.943625,0.987750,0.999000,0.958937,0.937688,0.997375,335444,720,240,20.9
101,0,0.947562,0.935062,0.937781,0.999250,0.930625,0.985375,0.875000,0.992938,0.871313,0.956250,0.930625,335444,720,240,20.3
102,0,0.927844,0.941531,0.938031,0.999250,0.999500,0.828500,0.884125,0.997875,0.999500,0.838000,0.916750,335444,720,240,20.4
103,0,0.974625,0.963188,0.964219,0.998875,0.932500,0.983750,0.983375,0.994750,0.909750,0.960062,0.992312,335444,720,240,20.8
104,0,0.951750,0.952953,0.953016,0.989875,0.998500,0.995375,0.823250,0.990125,0.999500,0.993375,0.829063,335444,720,240,20.2
